	id	similarityStruct.MACCS.Dice	similarityStruct.Morgan.Dice	similarityStruct.MorganPure.Dice	similarityStruct.RDK.Dice	similarityStruct.AtomPair.Dice	similarityStruct.Torsion.Dice	similarityStruct.MACCS.Tanimoto	similarityStruct.RDKDice.Tanimoto	Source.MineID	Source.PubChemCID	Source.DrugBankID
96	DB07810	0.8	0.5538	0.4308	0.3667	0.4523	0.3544	0.6667	0.2245	5	969516	DB11672
97	DB07932	0.7937	0.6026	0.4103	0.3647	0.4255	0.3214	0.6579	0.2231	5	969516	DB11672
98	DB08034	0.6479	0.5342	0.4658	0.4273	0.5251	0.3871	0.4792	0.2717	5	969516	DB11672
99	DB08100	0.7391	0.5366	0.4065	0.4362	0.3882	0.4658	0.5862	0.2789	5	969516	DB11672
100	DB08196	0.7576	0.5441	0.5	0.3925	0.5328	0.4048	0.6098	0.2442	5	969516	DB11672
101	DB08322	0.8571	0.6386	0.494	0.4513	0.483	0.3404	0.75	0.2914	5	969516	DB11672
102	DB08399	0.8077	0.544	0.496	0.6042	0.3953	0.4865	0.6774	0.4329	5	969516	DB11672
103	DB08486	0.6957	0.4895	0.3916	0.3824	0.5037	0.3529	0.5333	0.2364	5	969516	DB11672
104	DB08587	0.8889	0.5593	0.5763	0.7965	0.5246	0.6087	0.8	0.6618	5	969516	DB11672
105	DB08711	0.8235	0.5455	0.4909	0.5562	0.3708	0.5231	0.7	0.3852	5	969516	DB11672
106	DB08753	0.7059	0.6093	0.4901	0.6651	0.5385	0.4524	0.5455	0.4982	5	969516	DB11672
107	DB08754	0.6667	0.5985	0.5109	0.6398	0.5254	0.6154	0.5	0.4703	5	969516	DB11672
108	DB09086	0.7755	0.5185	0.4259	0.6321	0.4309	0.4516	0.6333	0.4621	5	969516	DB11672
109	DB09120	0.6486	0.5441	0.4118	0.5812	0.5035	0.3836	0.48	0.4096	5	969516	DB11672
110	DB09298	0.7879	0.5896	0.4046	0.3608	0.5	0.3651	0.65	0.2201	5	969516	DB11672
111	DB09495	0.8	0.5797	0.3913	0.4012	0.4455	0.4286	0.6667	0.2509	5	969516	DB11672
112	DB11185	0.6486	0.5455	0.4394	0.3664	0.4464	0.3095	0.48	0.2243	5	969516	DB11672
113	DB11221	0.8846	0.608	0.464	0.4108	0.4646	0.359	0.7931	0.2585	5	969516	DB11672
114	DB11285	0.8214	0.605	0.605	0.81	0.5333	0.5672	0.697	0.6807	5	969516	DB11672
115	DB11299	0.6885	0.5299	0.4103	0.5813	0.4	0.4308	0.525	0.4097	5	969516	DB11672
116	DB11324	0.6216	0.5224	0.3881	0.571	0.437	0.3889	0.451	0.3996	5	969516	DB11672
117	DB11650	0.6301	0.5409	0.3648	0.4366	0.4254	0.3168	0.46	0.2793	5	969516	DB11672
118	DB11672	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5	969516	DB11672
119	DB12004	0.7273	0.5912	0.4403	0.4497	0.4431	0.4124	0.5714	0.29	5	969516	DB11672
120	DB12080	0.6757	0.5503	0.3893	0.4176	0.4282	0.3146	0.5102	0.2639	5	969516	DB11672
121	DB12087	0.7692	0.4952	0.4381	0.62	0.3882	0.459	0.625	0.4492	5	969516	DB11672
