#	DrugBank Id	Source.MineID	Source.PubChemCID	Source.DrugBankID	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesAdmet.Rat acute toxicity	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point ()	propertiesExperimental.logS	propertiesExperimental.melting point ()	propertiesExperimental.pKa	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Water Solubility	propertiesPredicted.logS	propertiesExperimental.LogP	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	chemicalProperties.Complexity	chemicalProperties.Covalently-Bonded Unit Count	chemicalProperties.Defined Atom Stereocenter Count	chemicalProperties.Defined Bond Stereocenter Count	chemicalProperties.Formal Charge	chemicalProperties.Heavy Atom Count	chemicalProperties.Isotope Atom Count	chemicalProperties.Undefined Atom Stereocenter Count	chemicalProperties.Undefined Bond Stereocenter Count	Summary.PolarSurfaceArea	Summary.HydrogenBondDonorCount	Summary.HydrogenBondAcceptorCount	Summary.RotatableBondCount	Summary.MolecularWeight	biochemical.state	Summary.charge
605	DB04834	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	-	Inhibitor	Inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	No	Yes	No	No	2.6637							6	2	72.25	183.1	4.64e-06	-8.1	7.6		9.65	1030	1	10	0	1	43	0	0	0	55.8	0	5	9	597.9	Solid	2
606	DB04839	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	Yes	No	Yes	No	1.8261					200.5		5	0	44.64	111.81	0.00152	-5.4	3.6	17.83	-5.6	903	1	8	0	0	29	0	0	0	60.4	0	4	3	416.9	Solid	0
607	DB04845	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	No	No	No	No	2.6638							3	0	56.86	136.71	0.00352	-5.2	3.6	13.85	2.73	817	1	7	1	0	35	0	0	0	140	3	7	2	506.7	Solid	0
608	DB04865	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	0	No	Yes	No	No	3.1592							5	1	57.62	142.07	0.108	-3.7	0.8	12.09	9.42	968	1	4	0	0	39	0	0	0	124	2	10	11	545.6	Solid	1
609	DB05263	12	54454	DB00641																						0	No	Yes	No	No								6	0	64.08	147.85	1.55e-05	-7.5	8.2		-4	912	1	11	0	0	37	0	0	0	44.8	0	4	6	512.8	Solid	0
610	DB05295	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	No	Yes	Yes	No	3.3673							3	0	59.7	143.54	0.0105	-4.7	4.3	13.38	-1.3	784	1	7	2	0	35	0	0	0	90.2	4	5	10	490.7	Solid	0
611	DB05442	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	No	Yes	Yes	No	1.9813							4	0	49.4	121.88	0.00235	-5.3	4.2	14.88	-2.9	897	1	7	0	0	32	0	0	0	89.9	1	6	6	485.4	Solid	0
612	DB05450	12	54454	DB00641																						1	No	No	No	Yes								6	0	51.43	119.42	3.28e-05	-7.1	5.33	18.3	-1.4										38.69	1	3	0	416.6365	Solid	0
613	DB05514	12	54454	DB00641																						1	Yes	No	Yes	No								2	-1	44.14	100.15	0.0158	-4.4	4.85	4.3	-4.4										83.83	2	5	11	404.495	Solid	-1
614	DB05830	12	54454	DB00641	Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	Yes	No	Yes	Yes	1.6259							4	0	33.92	84.5	0.0391	-3.9	2.9	18.34	-0.88	494	1	1	0	0	21	0	6	0	37.3	1	2	0	288.4	Solid	0
