322.ZINC000000602859
3104.ZINC000014881283
2628.ZINC000014881295
2849.ZINC000014881295
3109.ZINC000014881295
2678.ZINC000014952092
2929.ZINC000014952092
3165.ZINC000014952092
258.ZINC000014958419
447.ZINC000016051845
2614.ZINC000024420133
2838.ZINC000024420133
1652.ZINC000024447263
2594.ZINC000024495494
3073.ZINC000024495494
2606.ZINC000024495650
2668.ZINC000025668028
2914.ZINC000025668028
3142.ZINC000025668028
2624.ZINC000026289134
2598.ZINC000027090034
2554.ZINC000028353688
3020.ZINC000028353688
2365.ZINC000028382402
1041.ZINC000031976570
2616.ZINC000031976570
2841.ZINC000031976570
3099.ZINC000031976570
2665.ZINC000038190858
2904.ZINC000038190858
3135.ZINC000038190858
99.ZINC000038311600
464.ZINC000038311600
446.ZINC000040422706
2703.ZINC000043130902
3181.ZINC000043130902
2728.ZINC000043552569
3151.ZINC000053683360
2620.ZINC000053683585
3103.ZINC000053683585
2548.ZINC000055398661
3011.ZINC000055398661
2640.ZINC000056898832
3117.ZINC000056898832
2382.ZINC000058638423
2643.ZINC000068009799
2860.ZINC000068009799
3121.ZINC000068009799
2720.ZINC000068077856
2960.ZINC000068077856
3195.ZINC000068077856
40.ZINC000068207369
2389.ZINC000072131515
563.ZINC000085534098
533.ZINC000085534336
538.ZINC000085536990
626.ZINC000085537008
534.ZINC000085537026
2635.ZINC000085537051
3114.ZINC000085537051
566.ZINC000085537053
650.ZINC000085537070
1701.ZINC000085537113
2709.ZINC000085537120
696.ZINC000085540108
2712.ZINC000085540112
2956.ZINC000085540112
3185.ZINC000085540112
670.ZINC000085540254
661.ZINC000085540282
1524.ZINC000085545647
1601.ZINC000085547903
720.ZINC000085552063
2545.ZINC000085740056
3005.ZINC000085740056
668.ZINC000094313254
1610.ZINC000095543621
687.ZINC000095627892
314.ZINC000095628218
546.ZINC000096006016
568.ZINC000096006021
1521.ZINC000096006025
1228.ZINC000096006053
1549.ZINC000096006053
1835.ZINC000096006053
2629.ZINC000096006131
3110.ZINC000096006131
1422.ZINC000096015174
2029.ZINC000096015174
2276.ZINC000096015174
2553.ZINC000096068408
2691.ZINC000096077632
2940.ZINC000096077632
3174.ZINC000096077632
2183.ZINC000096077688
1528.ZINC000096085195
556.ZINC000096095661
682.ZINC000096179269
2592.ZINC000096210382
666.ZINC000096941865
2564.ZINC000098207915
3053.ZINC000098208699
2546.ZINC000098208801
3006.ZINC000098208801
2735.ZINC000098209433
3214.ZINC000098209433
799.ZINC000100036081
340.ZINC000100071817
3184.ZINC000100529249
3193.ZINC000101669568
2685.ZINC000113569616
2937.ZINC000113569616
3171.ZINC000113569616
283.ZINC000141949519
1626.ZINC000150338506
2536.ZINC000150338703
3012.ZINC000150342633
2729.ZINC000163851498
2966.ZINC000163851498
3204.ZINC000163851498
2651.ZINC000169289386
2873.ZINC000169289386
552.ZINC000169289388
2748.ZINC000169289402
3222.ZINC000169289402
550.ZINC000169289411
2705.ZINC000169289417
1632.ZINC000169289809
590.ZINC000169290591
657.ZINC000169292837
690.ZINC000169307271
756.ZINC000169320743
674.ZINC000169357315
673.ZINC000169362007
2681.ZINC000169362009
2639.ZINC000169362874
698.ZINC000169368401
1537.ZINC000169654783
2698.ZINC000169676920
697.ZINC000169676935
665.ZINC000169677006
577.ZINC000169677008
619.ZINC000169677038
747.ZINC000169677041
2867.ZINC000169746694
2861.ZINC000169746723
2941.ZINC000169746730
877.ZINC000169748469
425.ZINC000169748477
1045.ZINC000169748487
2623.ZINC000169748488
2845.ZINC000169748488
3105.ZINC000169748488
2850.ZINC000169748489
2908.ZINC000169748497
2911.ZINC000169748501
3139.ZINC000169748501
2912.ZINC000169748502
3140.ZINC000169748502
2913.ZINC000169748503
3141.ZINC000169748503
2919.ZINC000169748507
984.ZINC000195757320
2557.ZINC000195757935
3025.ZINC000195757935
2749.ZINC000203341463
1298.ZINC000238809655
1905.ZINC000238809655
1489.ZINC000242620164
2096.ZINC000242620164
667.ZINC000245204941
655.ZINC000245253793
669.ZINC000252441679
543.ZINC000253387843
1493.ZINC000253529433
2100.ZINC000253529433
1444.ZINC000253529453
2051.ZINC000253529453
1580.ZINC000253803467
721.ZINC000254286797
624.ZINC000255201631
618.ZINC000257373089
656.ZINC000306122586
